,OutDeg_RedConfltAgu,Indeg_RedConfltAgu,Degree_RedConfliAgu,Degree_RedeIrmonsPr,OutDeg_PaiTiopaterC,Indeg_PaiTiopaterC,OutDeg_TiosMaternos,Indeg_TiosMaternos,Degree_IntimAmigUnd,OutDeg_IntimAmigos_,Indeg_IntimAmigos_,OutDeg_RedeRisk_Cen,Indeg_RedeRisk_Cen,OutDeg_RedeConfianc,Indeg_RedeConfianc,Degree_RedeConflitA,Degree_RedeConflitG,OutDeg_VendaParcela,Indeg_VendaParcela,OutDeg_EmprestParce,Indeg_EmprestParce,PC1_Distance_Pro,PC2_Distance_Pro,Avg_Distancia_Dist_moranza,Degree_RedeTotFamil,1_VarExp_Moranca,2_VarExp_Atri_Tabanca,3_VarExp_Atri_Fanado,4_VarExp_Atri_CargosWM,5_VarExp_Atri_Idade,6_VarExp_Atri_ClassIdade,7_VarExp_Atri_IndForcaFugon,8_VarExp_Atri_IndInvestDiq,9_VarExp_Atri_IndMelhorTecnDiqCint,10_VarExp_Atri_MelhorTecnTubos,Area_bolanha,Degree_Rede_EntreajudaLabur,OutDeg_Var.Dep_RedeControlExtAusencia,OutDeg_Var.Dep_ApoioSpecDiqCint,OutDeg_Var.Dep_ApoioSpecTubos,OutDeg_Var.Dep_RedApoiLevntDiCin,OutDeg_RedCont_DiqPriqDiqCint,OutDeg_RedeRepar_DiqPriqDiqCint,OutDeg_Red-Val_Cont1Rep2DiqCin,OutDeg_Red-Val_Cont1Rep2DiqPrq,OutDeg_ContRep2_DiqPrqCin,OutDeg_Var.Dep_RedePartilhaAgu
Degree_RedConfliAgu,0.9785667168573924,0.9784331842133831,1.0,0.11554998855067213,0.02020776536488124,-0.058369599068735255,0.10820998074812992,0.012322588467439142,0.1849288602814772,0.1827609279084691,0.14995378531924883,0.1331852407123133,0.0025372490837584608,-0.03350308360149414,0.23780219813307196,0.2965896585046667,0.20621016260510244,0.26138407498587096,-0.12532890369851982,-0.05601457826962016,0.21533406618998255,-0.2555165918943167,-0.08290275439650471,-0.11438201300436039,0.09229242804381303,0.06983288150141838,0.18902769761261362,-0.10702932020613193,0.1448295261251617,-0.04628999113467721,-0.007826035670759726,0.010122792955214295,0.11768249928957839,0.1965291944051343,0.1541738989821838,0.21226134578895947,0.039260284097744035,0.15546154694103007,0.17746600527059556,0.17516033294343392,0.13521386408008587,0.23030482159576535,0.21417345851664865,0.18524364322712936,0.25649635803348103,0.23154540250597433,0.3812407096351545
Degree_RedeIrmonsPr,0.13733038858047697,0.1332536413449615,0.11554998855067213,1.0,0.08374808163771406,-0.06838542967416118,0.5891058162404189,0.11288718381144258,-0.06692942002538319,-0.058277387872415834,0.05542027211136589,-0.04548882657761486,0.05721249452798031,0.25204049793356903,0.3365407468556834,0.042607667855013465,0.18786633676460593,0.03844803768980467,0.03429939486959155,0.07082645987715089,0.022770147047463482,-0.1884017680034501,0.05865677673784072,-0.1401452534061506,0.8117833573309513,-0.285034974661451,0.32600351876538275,-0.2532117524700316,0.1837768921877249,-0.07325914120057544,-0.06558286374337066,0.0025490415059272096,0.08254007844296166,0.31476152096649346,0.3138679551647618,0.10182966226713464,-0.09872136101709453,0.2190859361228691,0.2714475167405213,0.2883250993337213,0.15813859812924672,0.3839191812297453,0.34118449372880194,0.16825277403931746,0.3798618914162612,0.3643728565055985,0.23945645409847588
OutDeg_PaiTiopaterC,0.01617888728525437,0.015698605865419744,0.02020776536488124,0.08374808163771406,1.0,-0.13209671475381662,0.13328477932821733,-0.05538509502554786,-0.031024827426079548,-0.17311437327823004,0.12854899726154867,0.1782782113968749,0.14257177591368644,-0.08836279750850796,0.17101523435820346,-0.07962761628695031,0.2620882825865385,0.04942252975447902,0.041826702844100894,0.06280344294559362,0.028860353539421953,-0.03428290769890526,0.041622832341609545,-0.09800353803943872,0.23277216921661592,-0.16526050777863677,0.1450355768753198,0.2169033578842001,0.08571184146700428,0.22597681961444707,0.1225649600660317,0.09976551166862753,0.2720780408026766,0.15473675569130316,0.11487568914311333,0.18754610160649104,0.017637648994912894,0.1355244401603498,0.12916658437153836,0.10299894967595895,0.10013146205290417,0.17578116595739343,0.16197435406471675,0.14657851030424307,0.1842653220496678,0.16704691661554666,0.2105844020936672
Indeg_PaiTiopaterC,-0.06503602451475073,-0.06310538530306561,-0.058369599068735255,-0.06838542967416118,-0.13209671475381662,1.0,-0.0846716080388905,-0.06803908556437838,0.03088057442834667,0.12889373487287614,-0.06354033351048506,0.09334855374975352,-0.06624586216914832,0.05040052848151575,-0.061004576105798305,-0.022445669362151,0.02025182881308063,-0.10573022209394203,0.14728942756179822,0.028458553599066877,-0.0418383890331009,-0.06251330653428723,0.002039778789250834,-0.09588369850754301,0.11884892654445776,-0.13265329587022107,0.1362683834044498,-0.12435048214382442,-0.07138431173386123,-0.18184920782452807,-0.10693730530586908,-0.012089777584468627,-0.09953096653793919,-0.06437439451682575,-0.06769813102788999,0.006187352483461668,-0.06872393988661468,-0.04710989750297527,-0.09336589850234472,-0.056350892188781185,-0.044608950984698435,-0.021461045088454672,-0.051840609223758896,-0.06246005955282781,-0.03691304531489359,-0.03676863405524398,0.03333790249426127
OutDeg_TiosMaternos,0.12750552637818593,0.12372043694861246,0.10820998074812992,0.5891058162404189,0.13328477932821733,-0.0846716080388905,1.0,0.1950718375466189,-0.005711241510172724,0.036781957981256115,0.034012685333726526,-0.07042841883314545,0.027048318740629736,0.19331561837650627,0.3599749550027286,0.016294318264116082,0.09408911037094864,0.04480191445085283,-0.08284422723265253,0.020096153846153764,-0.07974839624890209,-0.14578764759165913,0.022465715328373537,-0.06227561386032745,0.7049972606853862,-0.2212154873266258,0.13022208092067858,-0.17416444008708304,0.2694626397775298,-0.06603059334069385,0.0024547020291006308,0.047095868337253446,0.14377713021800193,0.31009685869499454,0.34833165652178305,0.08029825718609977,0.11753430209810796,0.14810931527115423,0.2959465719803893,0.31404846221034144,0.10501900644334664,0.36133354659625644,0.34627582755645353,0.1547878154762162,0.36534571300952606,0.3569686492480332,0.10360216945924225
Indeg_TiosMaternos,0.014766409041501132,0.014328058011836958,0.012322588467439142,0.11288718381144258,-0.05538509502554786,-0.06803908556437838,0.1950718375466189,1.0,0.03962228307943451,0.007465482237571821,0.08161108904817098,-0.03617251929209101,-0.03621569145749197,0.1291905975799779,0.17492131607443734,0.03133876107101356,-0.041279511600317474,-0.03920064299457048,-0.08776817417392951,-0.09798038625126376,0.0311927622408323,-0.04737134155132371,0.1298624076128637,-0.013947957634740311,0.5470004374225657,-0.062395029223872425,0.014380513549824066,-0.13031364768755752,0.06592157936484887,-0.15499532025272542,-0.11187801929413999,0.1450926847575347,0.021247403615717312,0.07816392556488706,0.30719223199857476,-0.0232294179880513,-0.14473899066825016,0.16834719709669457,0.189032458143991,0.3278274623390857,0.05393848249820955,0.12177554030876223,0.08239792452060664,0.037805548333058596,0.09142797498374435,0.10298480368734646,-0.025809068540954504
Degree_IntimAmigUnd,0.21246176455565624,0.2030791783153089,0.1849288602814772,-0.06692942002538319,-0.031024827426079548,0.03088057442834667,-0.005711241510172724,0.03962228307943451,1.0,0.738757965721136,0.7168087605586128,0.21484590386050376,0.17843109055655612,0.16396024931750577,0.3712649849529893,-0.014621069521103829,-0.09331138241808672,0.13576947935912242,0.10659497820924424,0.13984729971413762,0.07813417019861152,-0.13903109540689867,0.03714070120093575,-0.059066733904634,-0.026021546769885332,-0.02250978631437948,0.1706835414521858,0.008515509575635356,0.09152965967008612,-0.01209074056762782,0.01057433378670112,0.3293141427930325,0.25352058989172,0.31216062271930134,0.18394797561651724,0.3115717093759224,0.022600276974841058,0.47233620321192693,0.2997410499328533,0.19241582215137237,0.2812468329664262,0.31201693649848994,0.30803264430313354,0.3000839196574938,0.3041491767852483,0.3225569980582598,0.13674807258983762
OutDeg_IntimAmigos_,0.2209033759490227,0.2012515019949342,0.1827609279084691,-0.058277387872415834,-0.17311437327823004,0.12889373487287614,0.036781957981256115,0.007465482237571821,0.738757965721136,1.0,0.12408849203685135,0.007647697527907649,-0.04652383567060249,0.18723797723829394,0.18815616494678533,0.0557125147448041,-0.013939635795334136,0.06906660413909717,0.02279184961126303,0.12259010242111895,-0.008379212302747787,-0.08409006887655242,-0.05945601335552373,0.023986355748643242,-0.030597161610094358,0.005361971746139985,-0.006605351067945605,-0.026192859243575825,-0.017788095039742217,-0.12819692046995468,-0.023669907941727932,0.10506549203671318,0.05113049227906946,0.06281080483106707,0.12176857415362097,0.07306816357202844,0.07073434037878167,0.22916530225265228,0.08932725441195775,0.14636715491618327,0.04764453496516966,0.13676161401452167,0.10125661228004111,0.06223156776157099,0.11149266301680102,0.11874390515552623,0.13683437928056383
Indeg_IntimAmigos_,0.15136780458875507,0.15830874092563896,0.14995378531924883,0.05542027211136589,0.12854899726154867,-0.06354033351048506,0.034012685333726526,0.08161108904817098,0.7168087605586128,0.12408849203685135,1.0,0.33569051437030323,0.32760798137311525,0.08762211695612743,0.4721047144004494,-0.08042215679145702,-0.04979723976466438,0.1996146921887653,0.15194893128130532,0.10006312588502762,0.17614946365539141,-0.16896509168470417,0.10448308111654182,-0.17677034086176338,0.08812198902879721,-0.04406160486456586,0.3401265412922834,0.001192204971859163,0.226538026544907,0.0882344214542014,0.04985903062153476,0.3526738968907249,0.29337765967858076,0.45478795477927814,0.22797718315638074,0.45825137606394883,-0.035599981468030124,0.5289810467941576,0.4060705359870008,0.2249727747110652,0.3855299310383395,0.4136566862356865,0.4313227972105057,0.43255776057508954,0.4144913826966819,0.4452556797740092,0.09427078758873701
OutDeg_RedeRisk_Cen,0.1109152249426714,0.1264283452854611,0.1331852407123133,-0.04548882657761486,0.1782782113968749,0.09334855374975352,-0.07042841883314545,-0.03617251929209101,0.21484590386050376,0.007647697527907649,0.33569051437030323,1.0,0.5366632249960691,0.0668285653230681,0.3199011207392196,-0.04026191494666214,-0.07302717614016821,-0.0005330806968600073,0.2894535795390568,0.18562956873459646,0.18080754469728172,-0.2568755025976358,0.2714921819801765,-0.001866543805243862,-0.001897967437440423,0.08410298490279249,0.38828610428520677,0.02821336534084669,0.03993062833483393,0.14783704372285525,0.09844864141551711,0.1765530550832037,0.23132143269937952,0.3055680805381227,0.045125042122497724,0.5712222015791836,-0.013120854653241538,0.3402350039492763,0.22795382951175805,0.028276542654127875,0.4183904536518252,0.34737724155474337,0.30492756241752966,0.4579479992713459,0.306818046245313,0.3279610633692836,0.11529963280715022
